abv,image,name,official_content,origin,url,winery,year
50.0%,https://ip.distiller.com/images/spirits/822de1b0-856f-0135-4cc0-32b1d61bd46a/jp_wisers_35_year_tile.jpg?1506544198,J.P. Wiser's 35 Year,This 35-year-old whisky is part of the 2017 Northern Borders Rare Collection drawn from some of the oldest Hiram Walker bonds. It’s a traditional Canadian whisky composed of corn whisky aged in ex-bourbon barrels blended with column and pot still rye aged in virgin oak barrels. Bottled at 50% alcohol. Limited availability in Canada with a very limited allocation in Europe and the US.," Ontario, Canada
",https://distiller.com/spirits/j-p-wiser-s-35-year,"
J.P. Wiser's ",35 Year
54.5%,https://ip.distiller.com/images/spirits/297c9e80-972b-0135-0cb8-76d730c11d60/lock_stock_18_tile.jpg?1508442001,Lock Stock & Barrel Straight Rye Whiskey 18 Year,"This is the third and oldest release thus far of Lock Stock & Barrel Straight Rye Whiskey, following their 13-year-old and 16-year-old bottlings. Like those releases, this bottling is 100% rye whiskey distilled at Canada's Alberta Distillery. It is a ""robust cut"", unfiltered after aging for 18 years in new, charred American oak. Bottled at 109 proof. "," Canada
",https://distiller.com/spirits/lock-stock-barrel-straight-rye-whiskey-18-year,"
Cooper Spirits ",18 Year
40.7%,https://ip.distiller.com/images/spirits/aad9efc0-f17f-0134-7c1f-721577701edc/bowmore_1961_50_year_tile.jpg?1490304166,Bowmore 50 Year 1961,"This 50 year-old Bowmore is a limited 200-bottle release stemming from two ex-bourbon hogshead casks filled half a century ago, in December 1961. Bowmore 1961 has been released over a period four years, with the final 50 bottles now available, each priced at $23,000.The casks were matured for a time in Bowmore's famed No. 1 Vaults. Bottled at 40.7% ABV, each bottle is enclosed in a handmade wooden cabinet, with silver neck collars and cork tops, and handblown glass. ",null,https://distiller.com/spirits/bowmore-50-year-1961,"
Islay, Scotland
",50 Year
48.0%,https://ip.distiller.com/images/spirits/f054d330-79ff-0135-72f6-0ef26391ba47/yamazaki_18_year_2017_edition_tile.jpg?1505237872,Yamazaki 18 Year Mizunara Cask 2017 Edition,"This 18 year-old single malt from Suntory's Yamazaki Distillery is aged exclusively in Japanese Mizunara oak. The name ""Mizunara"" derives from the Japanese ""mizu"" meaning water and ""nara"" meaning oak. Mizunara is both hard and permeable making it difficult to shape and to avoid leaks. Chief Blender Shinji Fukuyo selected whiskies aged in Mizunara of varying ages from at least 18 years and including some more than 50 years old for this whisky. Bottled at 48% ABV, this edition is available from October 2017. "," Japan
",https://distiller.com/spirits/yamazaki-18-year-mizunara-cask-2017-edition,"
Yamazaki ",18 Year
45.0%,https://ip.distiller.com/images/spirits/5aacdc80-a530-0134-9fc2-369bd743222c/jp_wisers_union_52_tile.jpg?1484692588,J.P. Wiser's Union 52,J.P. Wiser's Union 52 whiskey is a blend of 4% 52 year-old single malt Scotch and 96% 16 year-old Canadian whiskies. It is bottled at 45% ABV. Available in British Columbia only.," Ontario, Multiple Countries
",https://distiller.com/spirits/j-p-wiser-s-union-52,"
J.P. Wiser ",NAS
67.7%,https://ip.distiller.com/images/spirits/0b86e090-5749-0134-1c4e-4e8213b82b8e/william_larue_weller_tile.jpg?1473361468,William Larue Weller Bourbon (Fall 2016),"This 2016 edition of this heralded wheated bourbon was distilled in the winter of 2003. The barrels were aged on the 3rd and 6th floors of Warehouses D, K, & L. At the time of bottling, 145 barrels were selected and the whiskey was 12 years and 7 month old. It is bottled uncut, and unfiltered at 135.4 proof. "," Kentucky, USA
",https://distiller.com/spirits/william-larue-weller-bourbon-fall-2016,"
Buffalo Trace Antique Collection ",12 Year
55.6%,https://ip.distiller.com/images/spirits/3a7009a0-5ab0-0134-8c86-3eb6f9b9b5fb/four_roses_limited_edition_small_batch_bourbon_2016_tile.jpg?1473695537,Four Roses Limited Edition Small Batch Bourbon (2016),"The 2016 Limited Edition Small Batch bourbon from Four Roses incorporates three bourbons, each with a different one of their 10 mash bills: 12-year-old OESO, 12-year-old OBSV, and 16-year-old OESK. It's the first time in seven years that the OESO has made an appearance in this release. Bottled at barrel strength, 111.2 proof, there are 9,258 hand-numbered bottles in the release."," Kentucky, USA
",https://distiller.com/spirits/four-roses-limited-edition-small-batch-bourbon-2016,"
Four Roses ",NAS
43.0%,https://ip.distiller.com/images/spirits/a2646ec0-bbcf-0133-a403-16a648e409b7/yamazaki_25_year_tile.jpg?1456172426,Yamazaki 25 Year,"Only 12,000 bottles of this rare Japanese single malt are produced each year. After enjoying a long and slow maturation of 25 years exclusively in sherry butts, it is bottled at 43% ABV."," Japan
",https://distiller.com/spirits/yamazaki-25-year,"
Yamazaki ",25 Year
63.0%,https://ip.distiller.com/images/spirits/e8fec490-8819-0133-813e-2234b4929309/octomore_7_3_169_islay_barley_tile.jpg?1470083570,Octomore 07.3/169 Islay Barley,"Bruichladdich's Octomore series preaches to peat devotees, in the quest for the best and most heavily peated Islay whiskies ever produced. The 07.3 release clocks in at 169 PPM, and has been aged for five years in ex-bourbon and Spanish Ribera del Duero wine barrels. Distilled from Islay barley, it has also been bottled at cask strength, 63% ABV. The series is named for the Octomore Farm, nestled above Port Charlotte."," Islay, Scotland
",https://distiller.com/spirits/octomore-7-3-169-islay-barley,"
Octomore ",5 Year
54.3%,https://ip.distiller.com/images/spirits/e8b645c0-6c9b-0133-3990-4627d8451793/four_roses_limited_edition_small_batch_barrel_strength_2015_tile.jpg?1447774775,Four Roses Limited Edition Small Batch Bourbon (2015),"Four Roses experienced the end of an era in 2015, with long-time Master Distiller Jim Rutledge stepping away from the company. The final annual Limited Edition Small Batch release under his watch is therefore a special one. The blend incorporates four of the 10 Four Roses recipes, ranging in age from 11 to 16 years. Roughly 12,600 cask-strength bottles were in the release."," Kentucky, USA
",https://distiller.com/spirits/four-roses-limited-edition-small-batch-bourbon-2015,"
Four Roses ",NAS
42.9%,https://ip.distiller.com/images/spirits/212e2e50-3c89-0133-de8c-5ec6380aacf3/the_glenrothes_extraordinary_single_cask_1969_11485_tile.jpg?1442243591,The Glenrothes Extraordinary Single Cask 1969 #11485,"On the 10th of July, 1969 this Speyside Scotch was placed in a refill hogshead cask. Number 11485 to be exact. Then we walked on the moon, went to Woodstock and heard Abbey Road. Decades passed, and it was finally tapped at cask strength on May 28, 2015, yielding only 133 bottles."," Speyside, Scotland
",https://distiller.com/spirits/the-glenrothes-extraordinary-single-cask-1969-11485,"
The Glenrothes ",46 year
43.0%,https://ip.distiller.com/images/spirits/21fc7f80-7b2b-0133-2ae7-568bbbd2de48/macallan_reflexion_tile.jpg?1450378339,The Macallan Reflexion,"Reflexion is an expression in honor to Macallan’s fifth pillar, which showcases the whisky's deep mahogany color sucked naturally out of the first-fill hogshead casks. These smaller 200-liter casks allow the spirit to interact with a greater wood surface area. Reflexion is presented in a decanter designed to reflect the light in a way that shows off its natural beauty. "," Highlands, Scotland
",https://distiller.com/spirits/the-macallan-reflexion,"
The Macallan ",NAS
45.0%,https://ip.distiller.com/images/spirits/c2279310-43a7-0133-4f6d-6e49329533a6/eagle_rare_17_year_bourbon_2015_tile.jpg?1443021339,Eagle Rare 17 Year Bourbon (Fall 2015),"The 2015 edition of Eagle Rare 17 year old was aged on the first, second and third floors of Buffalo Trace's Warehouses Q & I. A member of the Antique Collection, the 2015 comes on the heels of last year's gold medal winner from the IWSC. Bottled at 90 proof, it carries lofty expectations and the type of lengthy aging that is rare for most bourbons on the market."," Kentucky, USA
",https://distiller.com/spirits/eagle-rare-17-year-bourbon-fall-2015,"
Eagle Rare ",17 Year
50.0%,https://ip.distiller.com/images/spirits/9ccf1940-4aa5-0133-3bbb-5281fb1f3971/jack_daniels_sinatra_century_tile.jpg?1443729892,Jack Daniel's Sinatra Century,"The love affair between Frank Sinatra and Jack Daniel's is well-known, and on the occasion of what would have been Frank Sinatra's 100th birthday, the whiskey brand decided to pay homage. Jack Daniel's Sinatra Century is a limited release 100-barrel creation, bottled at 100 proof. Master Distiller Jeff Arnett handpicked the barrels to craft a unique expression. Available starting October 2015, each bottle comes enclosed in a gift box, with a selection of previously unreleased Sinatra tunes to listen to while enjoying a dram.
"," Tennessee, USA
",https://distiller.com/spirits/jack-daniel-s-sinatra-century,"
Jack Daniel's ",NAS
50.3%,https://ip.distiller.com/images/spirits/7b433fe0-33b1-0133-f004-1295fa9de319/the_balvenie_single_malt_scotch_whisky_tun_1509_batch_2_tile.jpg?1441207272,The Balvenie Tun 1509 Batch 2,"The Balvenie is back with the second batch of Tun 1509. Although a single malt, it's a blend of 32 hand-picked barrels, including 23 American oak casks and nine European oak sherry casks, which were married together for several months in the eponymous Tun 1509 of The Balvenie's Warehouse 24. Non-chill filtered and bottled at just over 100 proof, the second batch of Tun 1509 is available starting September 2015.
"," Speyside, Scotland
",https://distiller.com/spirits/the-balvenie-tun-1509-batch-2,"
The Balvenie ",NAS
60.0%,https://ip.distiller.com/images/spirits/f7c58280-2d19-0133-97a9-52de299ae8f8/overeem_bourbon_cask_matured_tile.jpg?1444069429,Overeem Bourbon Cask Matured Single Malt Cask Strength,"Old Hobart Distillery started as a family-owned and operated business headed by Casey Overeem, who secured his distilling license in 2005 and took a pilgrimage to 15 of Scotland's distilleries to best learn the craft. The Bourbon Cask on its first release saw only 170 bottles, and marked the beginning of what might be Australia's finest whisky. In 2014, Old Hobart was sold to Lark Distillery, but both distilleries run as separate entities. Overeem Bourbon Cask is matured for a minimum of 5 years in American oak ex-bourbon cask, non-chill filtered, and is bottled at cask strength (their standard 86 proof is sold out until 2020). It is available in select Australian, UK and Netherlands bars and liquor stores.
"," Tasmania, Australia
",https://distiller.com/spirits/overeem-bourbon-cask-matured-single-malt-cask-strength,"
Overeem ",NAS
43.0%,https://ip.distiller.com/images/spirits/e29526e0-0b1b-0135-2bf3-6a0efca2456c/glenmorangie_1990_tile.jpg?1494356764,Glenmorangie Grand Vintage 1990,"The very first release from Glenmorangie's Bond House No.1 Collection - a 1990 vintage single malt matured in ex-bourbon casks and a smaller portion of sherry casks. The vintage marks the year that their warehouse, No. 1 the largest of their bonded warehouses built in the 19th century, was transformed into a still house in order to keep up with growing demand. "," Highlands, Scotland
",https://distiller.com/spirits/glenmorangie-grand-vintage-1990,"
Glenmorangie ",NAS
46.0%,https://ip.distiller.com/images/spirits/bc5ba100-9ddc-0132-9177-7ad5dbf985ab/balblair-1990-2nd-release_tile.jpg?1425396528,Balblair 1990 2nd Release,"Located in the Scottish Highlands, Balblair is a distillery that was established in 1790 by John Ross. They are known for their vintage releases, bottling only what was distilled in the year on the label. The second round for this vintage was aged in a combination of ex-sherry and ex-bourbon casks and is non-chill filtered."," Highlands, Scotland
",https://distiller.com/spirits/balblair-1990-2nd-release,"
Balblair ",NAS
43.0%,https://ip.distiller.com/images/spirits/323366b0-0199-0133-533e-42d56fdd885c/laphroiag-15-year-200th-anniversary-single-malt-scotch-whisky_tile.jpg?1436283688,Laphroaig 15 Year 200th Anniversary,"Laphroaig 15 Year Old is an expression that was first created 30 years ago, with barrels selected for their mellow characteristics. This limited edition celebrates the Islay distillery's 200th anniversary, with whisky created the same way as the original, aged exclusively in ex-bourbon casks, selected by Master Distiller John Campbell."," Islay , Scotland
",https://distiller.com/spirits/laphroaig-15-year-200th-anniversary,"
Laphroaig ",15 Years 
52.0%,https://ip.distiller.com/images/spirits/f65f64a4-3a2c-45aa-9db2-7de7ea2a1a07/nikka_yoichi_20_year_single_malt_tile.jpg?1440111512,Nikka Yoichi 20 Year,"The town of Hokkaido is where Nikka built its first of two distilleries, Yoichi, where a vital component is the artistry of running coal-fired pot stills. This traditional Japanese single malt is matured slowly in oak for 20 years and bottled at 104 proof in limited quantities."," Japan
",https://distiller.com/spirits/nikka-yoichi-20-year,"
Nikka ",20 Year
47.2%,https://ip.distiller.com/images/spirits/f7301a40-78eb-0132-1559-1ae818c38e7e/woodford_reserve_masters_collection_four_wood_tile.jpg?1421863837,Woodford Reserve Master's Collection Four Wood Bourbon,"This bourbon was initially matured in American oak and then finished in barrels made from maple wood, sherry wood and port wood. Part of Woodford’s Master Collection, this Four Wood Selection bourbon is highly limited. According to Master Distiller Chris Morris, “The batching ratios of the three finishing barrels were painstakingly chosen so that no one character dominated the final product.”
"," Kentucky, USA
",https://distiller.com/spirits/woodford-reserve-master-s-collection-four-wood-bourbon,"
Woodford Reserve ",NAS
